"","mouse_uni","shared_gene","human_uni"
"11778","Q9CX84","RGS19","P49795"
"11779","P15307","REL","Q04864"
"11780","Q9JL25","RGS1","Q08116"
"11781","Q9WVM1","RACGAP1","Q9H0H5"
"11782","O35929","REM1","O75628"
"11783","Q9QZB1","RGS20","O76081"
"11784","G3UYX5","RGS22","Q8NE09"
"11785","Q8VEL9","REM2","Q8IYK8"
"11786","O08849","RGS2","P41220"
"11787","Q9DBX1","RGCC","Q9H4X1"
"11788","Q8VEE4","RPA1","P27694"
"11789","Q9DC04","RGS3","P49796"
"11790","O08899","RGS4","P49798"
"11791","Q8JZL7","RASGEF1B","Q0VAM2"
"11792","Q9D300","RASGEF1C","Q8N431"
"11793","O08850","RGS5","O15539"
"11794","P82343","RENBP","P51606"
"11795","O54829","RGS7","P49802"
"11796","Q8BWR8","RHPN2","Q8IUC4"
"11797","Q3UYI5","RGL3","Q3MIN7"
"11798","Q7TNF8","TSPOAP1","O95153"
"11799","Q8VEK2","RHBDD2","Q6NTF9"
"11800","Q9D7T1","REP15","Q6BDI9"
"11801","Q8BP97","RHBDD3","Q9Y3P4"
"11802","P20918","PLG","P00747"
"11803","Q9R0E2","PLOD1","Q02809"
"11804","O88907","PIAS1","O75925"
"11805","Q9JM05","PIAS4","Q8N2W9"
"11806","Q9D7R2","PMEPA1","Q969W9"
"11807","Q8K4G5","ABLIM1","O14639"
"11808","Q3UKZ7","ARL14EPL","P0DKL9"
"11809","P56379","ATP5MJ","P56378"
"11810","Q99LJ2","ABTB1","Q969K4"
"11811","Q9QZC8","ABHD1","Q96SE0"
"11812","Q68FE2","ATG9A","Q7Z3C6"
"11813","Q7TQI7","ABTB2","Q8N961"
"11814","Q8R493","CHRNB4","P30926"
"11815","P20782","CHRNE","Q04844"
"11816","P41233","ABCA1","O95477"
"11817","Q810B3","BSX","Q3C1V8"
"11818","Q62210","BIRC2","Q13490"
"11819","Q8JZN5","ACAD9","Q9H845"
"11820","A2AWP0","BIRC7","Q96CA5"
"11821","Q07417","ACADS","P16219"
"11822","Q80VH0","BANK1","Q8NDB2"
"11823","Q8CBX9","BIVM","Q86UB2"
"11824","Q8BGM7","PRKAG3","Q9UGI9"
"11825","P49003","BMP5","P22003"
"11826","P20722","BMP6","P22004"
"11827","Q8K441","ABCA6","Q8N139"
"11828","Q61247","SERPINF2","P08697"
"11829","Q8K2H4","ACAP1","Q15027"
"11830","Q6GQT1","A2M","P01023"
"11831","P23359","BMP7","P18075"
"11832","Q8K449","ABCA9","Q8IUA7"
"11833","Q3V1N9","A3GALT2","U3KPV4"
"11834","Q8VIB5","BARHL2","Q9NY43"
"11835","Q9JI39","ABCB10","Q9NRK6"
"11836","O70479","TNFAIP1","Q13829"
"11837","Q922M3","KCTD10","Q9H3F6"
"11838","Q91YE9","NT5C1B","Q96P26"
"11839","Q3THG9","AARSD1","Q9BTE6"
"11840","A4QPC6","BTN2A2","Q8WVV5"
"11841","Q9DBJ3","BAIAP2L1","Q9UHR4"
"11842","O55137","ACOT1","Q86TX2"
"11843","Q9D020","NT5C3A","Q9H0P0"
"11844","P56818","BACE1","P56817"
"11845","P97504","BMX","P51813"
"11846","Q3UFY7","NT5C3B","Q969T7"
"11847","Q8R4X1","ACER1","Q8TDN7"
"11848","Q9JL18","BACE2","Q9Y5Z0"
"11849","P48410","ABCD1","P33897"
"11850","Q8BWN8","ACOT4","Q8N9L9"
"11851","Q8VD53","ACER2","Q5QJU3"
"11852","P55096","ABCD3","P28288"
"11853","P58137","ACOT8","O14734"
"11854","Q61503","NT5E","P21589"
"11855","Q6P542","ABCF1","Q8NE71"
"11856","Q99LE6","ABCF2","Q9UG63"
"11857","Q8R079","BFAR","Q9NZS9"
"11858","Q9Z2F7","BNIP3L","O60238"
"11859","Q8CHW5","BICDL2","A1A5D9"
"11860","P21836","ACHE","P22303"
"11861","Q61151","PPP2R5E","Q16537"
"11862","Q91WA9","ABCG4","Q9H172"
"11863","F8VPZ9","BICRA","Q9NZM4"
"11864","Q3U1T3","BRMS1L","Q5PSV4"
"11865","Q9DCD0","PGD","P52209"
"11866","Q99N20","BRMS1","Q9HCU9"
"11867","O08707","ACKR2","O00590"
"11868","A2AKE7","ACTL10","Q5JWF8"
"11869","O54962","BANF1","O75531"
"11870","Q60876","EIF4EBP1","Q13541"
"11871","P70445","EIF4EBP2","Q13542"
"11872","Q8R149","BUD13","Q9BRD0"
"11873","Q8K2Q7","BROX","Q5VW32"
"11874","O70552","BTG4","Q9NY30"
"11875","O70456","SFN","P31947"
"11876","Q8VCV1","ABHD17C","Q6PCB6"
"11877","Q7TNK8","ADM2","Q7Z4H4"
"11878","P23578","ACR","P10323"
"11879","P12023","APP","P05067"
"11880","Q60613","ADORA2A","P29274"
"11881","Q61618","ADORA3","P0DMS8"
"11882","P63115","SLC7A10","Q9NS82"
"11883","Q61114","BPIFB1","Q8TDL5"
"11884","Q9D2R0","AACS","Q86V21"
"11885","Q8C1E1","BPIFB2","Q8N4F0"
"11886","Q8BU51","BPIFB6","Q8NFQ5"
"11887","Q9R0X2","ADAMDEC1","O15204"
"11888","Q9DBR0","AKAP8","O43823"
"11889","Q920R0","ALS2","Q96Q42"
"11890","Q6AZB0","BOC","Q9BWV1"
"11891","Q5SQY2","BOD1","Q96IK1"
"11892","P68134","ACTA1","P68133"
"11893","Q924Y0","BBOX1","O75936"
"11894","Q9DCT1","AKR1E2","Q96JD6"
"11895","Q14DN9","ANKDD1B","A6NHY2"
"11896","Q9D8S9","BOLA1","Q9Y3E2"
"11897","Q8BXF8","ACTRT3","Q9BYD9"
"11898","O35137","ALX4","Q9H161"
"11899","Q8C8B0","ALX1","Q15699"
"11900","Q3TY86","AIFM3","Q96NN9"
"11901","P29452","CASP1","P29466"
"11902","P47739","ALDH3A1","P30838"
"11903","P24270","CAT","P04040"
"11904","Q9WTQ5","AKAP12","Q02952"
"11905","E9Q3E1","ALDH3B2","P48448"
"11906","O88845","AKAP10","O43572"
"11907","Q7TN79","AKAP7","O43687"
"11908","Q7TN79","AKAP7","Q9P0M2"
"11909","P97714","ADRA1D","P25100"
"11910","Q9D1F4","AKT1S1","Q96B36"
"11911","Q9D6P8","CALML3","P27482"
"11912","Q8BH00","ALDH8A1","Q9H2A2"
"11913","Q9JI76","ADAM21","Q9UKJ8"
"11914","Q9JLJ2","ALDH9A1","P49189"
"11915","P29594","CASP2","P42575"
"11916","Q9JHH6","CPB2","Q96IY4"
"11917","Q9DB16","CAB39L","Q9H9S4"
"11918","Q8CDK2","AGBL2","Q5U5Z8"
"11919","Q80T32","ADGRD1","Q6QNK2"
"11920","Q8CDP0","AGBL3","Q8NEM8"
"11921","Q01338","ADRA2A","P08913"
"11922","Q9Z0M6","ADGRE5","P48960"
"11923","Q8VEC3","ADGRF1","Q5T601"
"11924","P97783","MLLT11","Q13015"
"11925","Q5U465","CCDC125","Q86Z20"
"11926","Q8K1E6","ALKBH3","Q96Q83"
"11927","Q80TR1","ADGRL1","O94910"
"11928","Q9ESC8","AFF4","Q9UHB7"
"11929","Q3TTE0","ADAM5","Q6NVV9"
"11930","A2A7Z8","AADACL3","Q5VUY0"
"11931","Q6NSR3","ADCK2","Q7Z695"
"11932","Q8CJF8","AGO4","Q9HCK5"
"11933","P54923","ADPRH","P54922"
"11934","Q9CZI9","AEN","Q8WTP8"
"11935","Q9D1I2","CARD19","Q96LW7"
"11936","Q80ZF8","ADGRB3","O60242"
"11937","Q810U5","CCDC50","Q8IVM0"
"11938","Q8VDB2","ALG12","Q9BV10"
"11939","Q8K2K6","AGFG1","P52594"
"11940","Q3URE1","ACSF3","Q4G176"
"11941","Q9ES30","C1QTNF3","Q9BXJ4"
"11942","Q8R066","C1QTNF4","Q9BXJ3"
"11943","A1IGU4","ARHGEF37","A1IGU5"
"11944","Q61839","NPPC","P23582"
"11945","Q8R2N1","AQP3","Q92482"
"11946","Q9CYT6","CAP2","P40123"
"11947","E9Q414","APOB","P04114"
"11948","P17426","AP2A1","O95782"
"11949","P34056","TFAP2A","P05549"
"11950","O70423","AOC3","Q16853"
"11951","Q3UL36","ARGLU1","Q9NWB6"
"11952","Q9WUL7","ARL3","P36405"
"11953","O35280","CHEK1","O14757"
"11954","O54754","AOX1","Q06278"
"11955","P97766","CFC1","P0CG37"
"11956","O35381","ANP32A","P39687"
"11957","Q6RT24","CENPE","Q02224"
"11958","Q9EST5","ANP32B","Q92688"
"11959","P97822","ANP32E","Q9BTT0"
"11960","Q8BLB8","ANKRD34C","P0C6C1"
"11961","Q8VCT3","RNPEP","Q9H4A4"
"11962","Q3U0L2","ANKRD33B","A6NCL7"
"11963","P70180","NPR3","P17342"
"11964","O08739","AMPD3","Q01432"
"11965","P40237","CD82","P27701"
"11966","Q3UMR0","ANKRD27","Q96NW4"
"11967","Q9ESN5","CENPK","Q9BS16"
"11968","O88324","CD83","Q01151"
"11969","P42082","CD86","P42081"
"11970","Q3U3S3","CENPL","Q8N0S6"
"11971","P10300","CD8B","P10966"
"11972","Q5SUE8","ANKRD40","Q6AI12"
"11973","Q9CZW2","CENPN","Q96H22"
"11974","Q9Z0H4","CELF2","O95319"
"11975","Q8BTZ5","ANKRD46","Q86W74"
"11976","P97817","CDR2","Q01850"
"11977","Q7TQF7","AMPH","P49418"
"11978","Q8VE42","ANKRD49","Q8WVL7"
"11979","Q8BVF9","AMZ1","Q400G9"
"11980","Q8CIN6","CELF3","Q5SZQ8"
"11981","Q03311","BCHE","P06276"
"11982","Q8K015","CENPO","Q9BU64"
"11983","P40240","CD9","P21926"
"11984","Q400C8","AMZ2","Q86W34"
"11985","Q8BTI7","ANKRD52","Q8NB46"
"11986","Q7TSY6","CELF4","Q9BZC1"
"11987","Q810L3","CHFR","Q96EP1"
"11988","Q7TN33","CELF6","Q96J87"
"11989","Q9CZ92","CENPP","Q6IPU0"
"11990","O35161","CELSR1","Q9NYQ6"
"11991","A2ARS0","ANKRD63","C9JTQ0"
"11992","Q99PE2","ANKRA2","Q9H9E1"
"11993","P59672","ANKS1A","Q92625"
"11994","Q8BIZ1","ANKS1B","Q7Z6G8"
"11995","Q99NF3","CEP41","Q9BYV8"
"11996","Q8K3X6","ANKS4B","Q8N8V4"
"11997","P97449","ANPEP","P15144"
"11998","Q9CQ82","ITGB3BP","Q13352"
"11999","Q8BVM2","ANTXRL","A6NF34"
"12000","P05125","NPPA","P01160"
"12001","P21570","ANG","P03950"
"12002","Q8CDM1","ATAD2","Q6PL18"
"12003","Q5PR68","CEP112","Q8N8E3"
"12004","P50429","ARSB","P15848"
"12005","Q7TPC1","CDSN","Q15517"
"12006","P08920","CD2","P06729"
"12007","P50295","NAT2","P11245"
"12008","Q91WR3","ASCC2","Q9H1I8"
"12009","Q811I0","ATPAF1","Q5TC12"
"12010","Q61687","ATRX","P46100"
"12011","Q6PA06","ATL2","Q8NHH9"
"12012","Q68SA9","ADAMTS7","Q9UKP4"
"12013","P21274","BMP2","P12643"
"12014","O88738","BIRC6","Q9NR09"
"12015","Q91YP1","BCDIN3D","Q7Z5W3"
"12016","Q9Z0H6","CST9","Q5W186"
"12017","Q3UGY8","ARFGEF3","Q5TH69"
"12018","Q9Z1S0","BUB1B","O60566"
"12019","Q9CQ10","CHMP3","Q9Y3E7"
"12020","Q9ESJ1","CABLES1","Q8TDN4"
"12021","Q8BS39","CCDC32","Q9BV29"
"12022","Q8C6L5","CGAS","Q8N884"
"12023","O54825","BYSL","Q13895"
"12024","Q8VEC4","CALHM2","Q9HA72"
"12025","Q62192","CD180","Q99467"
"12026","P27790","CENPB","P07199"
"12027","Q9CXS4","CENPV","Q7Z7K6"
"12028","Q8BMK0","CEP85","Q6P2H3"
"12029","Q8BI22","CEP128","Q6ZU80"
"12030","P18406","CCN1","O00622"
"12031","A2A6Q5","CDC27","P30260"
"12032","Q8BL95","CFAP298","P57076"
"12033","Q3U4G0","CDIN1","Q9Y2V0"
"12034","Q9DAN9","CFAP97D1","B2RV13"
"12035","P51943","CCNA2","P20248"
"12036","Q80V31","CEP104","O60308"
"12037","O89033","CDC6","Q99741"
"12038","P28033","CEBPB","P17676"
"12039","Q8C0S1","DIS3L","Q8TF46"
"12040","Q8JZM7","CDC73","Q6P1J9"
"12041","Q9CPY3","CDCA5","Q96FF9"
"12042","O35495","CDK14","O94921"
"12043","P53568","CEBPG","P53567"
"12044","P25322","CCND1","P24385"
"12045","Q8BH53","CFAP69","A5D8W1"
"12046","O88430","CCL22","O00626"
"12047","Q9EQM6","DGCR8","Q8WYQ5"
"12048","Q8K0D0","CDK17","Q00537"
"12049","Q8R242","CTBS","Q01459"
"12050","Q9Z1X0","CCL27","Q9Y4X3"
"12051","P31001","DES","P17661"
"12052","O88673","DGKA","P23743"
"12053","Q7TNV0","DEK","P35659"
"12054","Q99LB2","DHRS4","Q9BTZ2"
"12055","E9Q557","DSP","P15924"
"12056","Q6NS52","DGKB","Q9Y6T7"
"12057","O08808","DIAPH1","O60610"
"12058","E9PUQ8","DGKD","Q16760"
"12059","Q9DCV6","DELE1","Q14154"
"12060","Q9R1C6","DGKE","P52429"
"12061","Q9R0P5","DSTN","P60981"
"12062","P03953","CFD","P00746"
"12063","O70566","DIAPH2","O60879"
"12064","Q9JJA7","CCNL2","Q96S94"
"12065","P41272","CD27","P26842"
"12066","Q9WV69","DMTN","Q08495"
"12067","Q9CXR1","DHRS7","Q9Y394"
"12068","P0C242","CCNO","P22674"
"12069","P14097","CCL4","P13236"
"12070","P31041","CD28","P10747"
"12071","O08749","DLD","P09622"
"12072","Q58NB6","DHRS9","Q9BPW9"
"12073","Q8VHP6","CDHR1","Q96JP9"
"12074","D3YXJ0","DGKH","Q86XP1"
"12075","Q9CWK3","CD2BP2","O95400"
"12076","Q9D8N2","DENND10","Q8TCE6"
"12077","Q7TQK0","CCNT2","O60583"
"12078","Q9Z121","CCL8","P80075"
"12079","D3YWQ0","DGKI","O75912"
"12080","Q8C4S8","DENND2A","Q9ULE3"
"12081","Q9Z1P5","CD320","Q9NPF0"
"12082","Q9CXV1","SDHD","O14521"
"12083","Q6WQJ1","DAGLA","Q9Y4D2"
"12084","Q9WUQ7","DEXI","O95424"
"12085","Q91VV4","DENND2D","Q9H6A0"
"12086","Q3U1Y4","DENND4B","O75064"
"12087","A6H8H2","DENND4C","Q5VZ89"
"12088","Q6PAL8","DENND5A","Q6IQ26"
"12089","Q811D0","DLG1","Q12959"
"12090","A2RSQ0","DENND5B","Q6ZUT9"
"12091","Q8R418","DICER1","Q9UPY3"
"12092","Q8BH65","DENND6A","Q8IWF6"
"12093","Q9D9V7","DENND6B","Q8NEG7"
"12094","Q91XM9","DLG2","Q15700"
"12095","A2RT67","DENND3","A2RUS2"
"12096","Q9QZD8","SLC25A10","Q9UBX3"
"12097","Q64442","SORD","Q00796"
"12098","P70175","DLG3","Q92796"
"12099","Q80TS7","DDN","O94850"
"12100","Q9DBB8","DHDH","Q9UQ10"
"12101","Q62108","DLG4","P78352"
"12102","Q9CQJ6","DENR","O43583"
"12103","E9Q9R9","DLG5","Q8TDM6"
"12104","P49615","CDK5","Q00535"
"12105","Q61470","CD37","P11049"
"12106","Q9JL21","CCR10","P46092"
"12107","Q64261","CDK6","Q00534"
"12108","Q8C9B9","DIDO1","Q9BTC0"
"12109","P51675","CCR1","P32246"
"12110","P04235","CD3D","P04234"
"12111","Q03147","CDK7","P50613"
"12112","P26443","GLUD1","P00367"
"12113","Q9D6I7","DIPK1A","Q5T7M9"
"12114","Q99ML4","DIPK1B","Q5VUD6"
"12115","Q8BQT2","DIPK1C","Q0P6D2"
"12116","Q3USZ8","DIPK2A","Q8NDZ4"
"12117","Q8C3I9","DIPK2B","Q9H7Y0"
"12118","Q9D0D4","DIMT1","Q9UNQ2"
"12119","Q811T9","DISC1","Q9NRI5"
"12120","Q9D1A2","CNDP2","Q96KP4"
"12121","P26339","CHGA","P10645"
"12122","Q61488","DHH","O43323"
"12123","Q3UW12","CNGA4","Q8IV77"
"12124","P97784","CRY1","Q16526"
"12125","Q6NVF9","CPSF6","Q16630"
"12126","P04345","CRYGA","P11844"
"12127","P04344","CRYGB","P07316"
"12128","Q9DAP7","ASF1B","Q9NVP2"
"12129","D3KU66","ASMT","P46597"
"12130","P14231","ATP1B2","P14415"
"12131","Q04519","SMPD1","P17405"
"12132","P97370","ATP1B3","P54709"
"12133","Q99ME6","ATP1B4","Q9UN42"
"12134","Q9D898","ARPC5L","Q9BPX5"
"12135","Q80US4","ACTR5","Q9H9F9"
"12136","Q64191","AGA","P20933"
"12137","Q2TA57","ASPHD1","Q5U4P2"
"12138","Q8BSY0","ASPH","Q12797"
"12139","Q8R429","ATP2A1","O14983"
"12140","Q8R2S9","ACTR8","Q9H981"
"12141","Q8CJ27","ASPM","Q8IZT6"
"12142","Q8BIR2","ASTE1","Q2TB18"
"12143","Q99MQ4","ASPN","Q9BXN1"
"12144","Q6ZWX0","WDR83OS","Q9Y284"
"12145","Q62415","PPP1R13B","Q96KQ4"
"12146","Q9CVB6","ARPC2","O15144"
"12147","O55143","ATP2A2","P16615"
"12148","Q8CG79","TP53BP2","Q13625"
"12149","Q9JM76","ARPC3","O15145"
"12150","Q64518","ATP2A3","Q93084"
"12151","P59999","ARPC4","P59998"
"12152","P50289","ACRV1","P26436"
"12153","Q8C6B9","RPS19BP1","Q86WX3"
"12154","Q9CPW4","ARPC5","O15511"
"12155","G5E829","ATP2B1","P20020"
"12156","Q9QZB7","ACTR10","Q9NZ32"
"12157","Q9D0A3","ARPIN","Q7Z6K5"
"12158","P56212","ARPP19","P56211"
"12159","Q9DCB4","ARPP21","Q9UBL0"
"12160","Q9D0L7","ARMC10","Q8N2F6"
"12161","Q6Q477","ATP2B4","P23634"
"12162","Q61137","ASTN1","O14525"
"12163","Q80X86","ARMC12","Q5T9G4"
"12164","Q80Z10","ASTN2","O75129"
"12165","Q8VEF1","GRAMD1A","Q96CP6"
"12166","Q9D7A8","ARMC1","Q9NVT9"
"12167","Q80XR2","ATP2C1","P98194"
"12168","Q80TI0","GRAMD1B","Q3KR37"
"12169","Q3URY6","ARMC2","Q8NEN0"
"12170","Q8CI52","GRAMD1C","Q8IYS0"
"12171","Q8BWG8","ARRB1","P49407"
"12172","A2AU72","ARMC3","Q5W041"
"12173","A7L9Z8","ATP2C2","O75185"
"12174","Q5EBP3","ARMC5","Q96C12"
"12175","P61161","ACTR2","P61160"
"12176","P59598","ASXL1","Q8IXJ9"
"12177","Q8BNU0","ARMC6","Q6NXE6"
"12178","Q8BWU8","ETNPPL","Q8TBG4"
"12179","Q3UJZ3","ARMC7","Q9H6L4"
"12180","Q8BZ32","ASXL2","Q76L83"
"12181","Q91YI4","ARRB2","P32121"
"12182","Q8R1K4","PHYKPL","Q8IUZ5"
"12183","Q8C4A5","ASXL3","Q9C0F0"
"12184","Q9DBR3","ARMC8","Q8IUR7"
"12185","Q641P0","ACTR3B","Q9P1U1"
"12186","Q9EQP6","ARR3","P36575"
"12187","Q99KN1","ARRDC1","Q8N5I2"
"12188","Q6P4T0","ATG2A","Q2TAZ0"
"12189","Q9D668","ARRDC2","Q8TBH0"
"12190","Q8VD46","ASZ1","Q8WWH4"
"12191","Q7TPQ9","ARRDC3","Q96B67"
"12192","Q99JY9","ACTR3","P61158"
"12193","Q9CQQ7","ATP5PB","P24539"
"12194","Q80XK6","ATG2B","Q96BY7"
"12195","A0A0B4J1F4","ARRDC4","Q8NCT1"
"12196","Q497K5","ARRDC5","A6NEK1"
"12197","Q9CR84","ATP5MC1","P05496"
"12198","O54827","ATP10A","O60312"
"12199","P56383","ATP5MC2","Q06055"
"12200","B1AWN4","ATP10B","O94823"
"12201","P20443","SAG","P10523"
"12202","Q8K2X1","ATP10D","Q9P241"
"12203","P56384","ATP5MC3","P48201"
"12204","Q91YI1","ATG13","O75143"
"12205","P98197","ATP11A","P98196"
"12206","Q6DFW5","ATP11B","Q9Y2G3"
"12207","Q9CZ05","ATXN7L1","Q9ULK2"
"12208","P50428","ARSA","P15289"
"12209","Q9QZW0","ATP11C","Q8NB49"
"12210","A2AWT3","ATXN7L3","Q14CW9"
"12211","Q9Z1W8","ATP12A","P54707"
"12212","P70704","ATP8A1","Q9Y2Q0"
"12213","P16460","ASS1","P00966"
"12214","P98200","ATP8A2","Q9NTI2"
"12215","Q9EPE9","ATP13A1","Q9HD20"
"12216","Q148W0","ATP8B1","O43520"
"12217","Q9CTG6","ATP13A2","Q9NQ11"
"12218","P98199","ATP8B2","P98198"
"12219","Q5XF89","ATP13A3","Q9H7F0"
"12220","Q6UQ17","ATP8B3","O60423"
"12221","Q5XF90","ATP13A4","Q4VNC1"
"12222","Q9CPX6","ATG3","Q9NT62"
"12223","Q9D5T0","ATAD1","Q8NBU5"
"12224","Q3TYU2","ATP13A5","Q4VNC0"
"12225","Q8C9S8","ATG4A","Q8WYN0"
"12226","Q8BGE6","ATG4B","Q9Y4P1"
"12227","Q811C2","ATG4C","Q96DT6"
"12228","Q8BGV9","ATG4D","Q86TL0"
"12229","Q4JIM5","ABL2","P42684"
"12230","Q9R0H0","ACOX1","Q15067"
"12231","Q9DBS4","ACOXL","Q9NUZ1"
"12232","P53368","NUDT1","P36639"
"12233","O70174","CHRNA4","P43681"
"12234","Q5SSL4","ABR","Q12979"
"12235","Q60590","ORM1","P02763"
"12236","Q8QZR1","TAT","P17735"
"12237","P07361","ORM2","P19652"
"12238","Q91ZH7","ABHD3","Q8WU67"
"12239","P09690","CHRNB1","P11230"
"12240","Q8VD66","ABHD4","Q8TB40"
"12241","Q8R0P8","ABHD8","Q96I13"
"12242","Q6PE15","ABHD10","Q9NUJ1"
"12243","P48985","ATOH1","Q92858"
"12244","Q19LI2","A1BG","P04217"
"12245","Q99NA2","ATOH8","Q96SQ7"
"12246","E9Q6Z5","AUNIP","Q9H7T9"
"12247","P70295","AUP1","Q9Y679"
"12248","Q8VCR7","ABHD14B","Q96IU4"
"12249","Q5YD48","A1CF","Q9NQ94"
"12250","Q2VPD4","ARNTL2","Q8WYA1"
"12251","Q8C6D4","BEND5","Q7L4P6"
"12252","Q80XL6","ACAD11","Q709F0"
"12253","Q99MR0","ACTL6B","O94805"
"12254","Q9Z1Q2","ABHD16A","O95870"
"12255","Q9QY83","ACTL7B","Q9Y614"
"12256","O88870","BEST1","O76090"
"12257","Q8BGM5","BEST2","Q8NFU1"
"12258","P25916","BMI1","P35226"
"12259","Q6H1V1","BEST3","Q8N1M1"
"12260","O35153","BET1L","Q9NYM9"
"12261","Q5SWU9","ACACA","Q13085"
"12262","Q9R229","BMP10","O95393"
"12263","Q9Z0L4","BMP15","O95972"
"12264","Q80ZQ9","ABITRAM","Q9NX38"
"12265","Q9ERZ4","CHRM2","P08172"
"12266","P98063","BMP1","P13497"
"12267","P00520","ABL1","P00519"
"12268","Q9D7B6","ACAD8","Q9UKU7"
"12269","Q9ERZ3","CHRM3","P20309"
"12270","P51174","ACADL","P28330"
"12271","Q920H4","CHRM5","P08912"
"12272","O35600","ABCA4","P78363"
"12273","O88737","BSN","Q9UPA5"
"12274","Q91V24","ABCA7","Q8IZY2"
"12275","Q5RJB0","BHLHA9","Q7RTU4"
"12276","Q9QYC3","BHLHA15","Q7RTS1"
"12277","Q8R0P4","AAMDC","Q9H7C9"
"12278","Q3UW26","BSPH1","Q075Z2"
"12279","Q61125","BDKRB1","P46663"
"12280","P34821","BMP8A","Q7Z5Y6"
"12281","Q99J27","SLC33A1","O00400"
"12282","O35185","BHLHE40","O14503"
"12283","Q5XG73","ACBD5","Q5T8D3"
"12284","Q9ER10","PRSS22","Q9GZN4"
"12285","Q9CQR4","ACOT13","Q9NPJ3"
"12286","Q9D061","ACBD6","Q9BR61"
"12287","P36895","BMPR1A","P36894"
"12288","Q5U5M8","BLOC1S3","Q6QNY0"
"12289","Q9D258","ACBD7","Q8N6N7"
"12290","Q64277","BST1","Q10588"
"12291","Q8VED2","BLOC1S4","Q9NUP1"
"12292","O35490","BHMT","Q93088"
"12293","Q5EG47","PRKAA1","Q13131"
"12294","Q2XU92","ACSBG2","Q5FVE4"
"12295","Q8BRK8","PRKAA2","P54646"
"12296","P28271","ACO1","P21399"
"12297","Q9CQC6","BZW1","Q7L1Q6"
"12298","A3KFX0","NT5C1A","Q9BXI3"
"12299","P70170","ABCC9","O60706"
"12300","A2AIG8","ACCS","Q96QU6"
"12301","Q3UX83","ACCSL","Q4AC99"
"12302","Q80Y61","BAIAP2L2","Q6UXY1"
"12303","Q99K67","AASS","Q9UDR5"
"12304","Q9QYR9","ACOT2","P49753"
"12305","Q3V1L4","NT5C2","P49902"
"12306","P97303","BACH2","Q9BYV9"
"12307","Q9WTZ8","BEX2","Q9BXY8"
"12308","Q9WTZ9","BEX3","Q00994"
"12309","Q99MQ1","BICC1","Q9H694"
"12310","P61222","ABCE1","P61221"
"12311","Q9D099","ACER3","Q9NUN7"
"12312","Q8BR07","BICD1","Q96G01"
"12313","Q6PD28","PPP2R5B","Q15173"
"12314","Q7TMS5","ABCG2","Q9UNQ0"
"12315","Q9QUI6","ACKR1","Q16570"
"12316","Q9JKX4","AATF","Q9NY61"
"12317","Q99JU7","BNIPL","Q7Z465"
"12318","P70444","BID","P55957"
"12319","Q9DBM0","ABCG8","Q9H221"
"12320","P05202","GOT2","P00505"
"12321","Q76MZ3","PPP2R1A","P30153"
"12322","P56485","ACKR3","P25106"
"12323","Q924I3","ACKR4","Q9NPB9"
"12324","P09470","ACE","P12821"
"12325","Q8R2R3","AAGAB","Q6PD74"
"12326","Q99LH9","SH3BP5L","Q7L8J4"
"12327","Q8K371","AMOTL2","Q9Y2J4"
"12328","Q9JHJ5","HTR3B","O95264"
"12329","P34968","HTR2C","P28335"
"12330","O09174","AMACR","Q9UHK6"
"12331","Q8K4E0","ALMS1","Q8TCU4"
"12332","Q61288","ACVRL1","P37023"
"12333","O88379","BAZ1A","Q9NRL2"
"12334","Q7TS75","AMER1","Q5JTC6"
"12335","Q6L8S8","B4GALNT3","Q6L9W6"
"12336","Q99ML1","BBC3","Q9BXH1"
"12337","Q99ML1","BBC3","Q96PG8"
"12338","Q80ZD9","AMIGO2","Q86SJ2"
"12339","A2ALI5","AJAP1","Q9UKB5"
"12340","Q8CG27","ACTL9","Q8TC94"
"12341","P31750","AKT1","P31749"
"12342","Q9Z0X1","AIFM1","O95831"
"12343","P56213","GFER","P55789"
"12344","Q9EQX4","AIF1L","Q9BQI0"
"12345","Q6P8K8","CPA4","Q9UI42"
"12346","Q9DB25","ALG5","Q9Y673"
"12347","G5E8Q8","ADGRF5","Q8IZF2"
"12348","Q8BIS8","CCDC126","Q96EE4"
"12349","Q6F3F9","ADGRG6","Q86SQ4"
"12350","P28474","ADH5","P11766"
"12351","Q810N9","CCDC172","P0C7W6"
"12352","Q3V384","AFG1L","Q8WV93"
"12353","Q60718","ADAM2","Q99965"
"12354","Q9JHT5","AMMECR1","Q9Y4X0"
"12355","Q80TS3","ADGRL3","Q9HAR2"
"12356","Q9D6Z0","ALKBH7","Q9BT30"
"12357","Q8R2V5","ADAP2","Q9NPF8"
"12358","Q8VHG2","AMOT","Q4VCS5"
"12359","P51829","ADCY7","P51828"
"12360","Q80UG6","ALKAL2","Q6UX46"
"12361","Q63918","CAVIN2","O95810"
"12362","P51881","SLC25A5","P05141"
"12363","Q8CHC8","ADNP2","Q6IQ32"
"12364","Q9D4V3","CCDC83","Q8IWF9"
"12365","O08529","CAPN2","P17655"
"12366","Q8CAK1","IBA57","Q5T440"
"12367","Q3V3R1","MTHFD1L","Q6UB35"
"12368","Q91X46","ARHGEF3","Q9NR81"
"12369","P62331","ARF6","P62330"
"12370","Q8CDT7","CABCOCO1","Q8IVU9"
"12371","Q8BHH1","AQP11","Q8NBQ7"
